title,author,price,pages,n_reviews,avg_reviews
Deep Learning (Adaptive Computation and Machine Learning series),[Ian Goodfellow],54.25,800.0,1862,4.3
The Hundred-Page Machine Learning Book,[Andriy Burkov],31.99,160.0,816,4.6
Pattern Recognition and Machine Learning (Information Science and Statistics),[Christopher M. Bishop],76.1,738.0,663,4.6
Mathematics for Machine Learning,[Marc Peter Deisenroth],46.54,398.0,580,4.7
Introduction to Machine Learning with Python: A Guide for Data Scientists,[Andreas C. Müller],45.0,398.0,565,4.5
Advances in Financial Machine Learning,[Marcos Lopez de Prado],40.49,400.0,514,4.5
Reinforcement Learning second edition: An Introduction (Adaptive Computation and Machine Learning series),[Richard S. Sutton],66.44,552.0,460,4.6
Python Machine Learning: Machine Learning and Deep Learning with Python scikit-learn and TensorFlow 2 3rd Edition,"[Sebastian Raschka,Vahid Mirjalili]",49.39,770.0,387,4.5
Machine Learning: 4 Books in 1: The #1 Beginners Guide to Master the Basics of Python Programming Learn the Art of Data Science and Build Artificial Intelligence,[Andrew Park],25.97,342.0,344,4.6
Machine Learning: A Probabilistic Perspective (Adaptive Computation and Machine Learning series),[Kevin P. Murphy],96.46,1104.0,314,4.4
PYTHON: Learn Coding Programs with Python Programming and Master Data Analysis & Analytics Data Science and Machine Learning with the Complete Crash Course for Beginners - 5 Manuscripts in 1 Book,[TechExp Academy],24.9,400.0,282,4.2
Python Machine Learning - Second Edition: Machine Learning and Deep Learning with Python scikit-learn and TensorFlow,"[Sebastian Raschka,Vahid Mirjalili]",41.99,622.0,272,4.5
Machine Learning Design Patterns: Solutions to Common Challenges in Data Preparation Model Building and MLOps,"[Valliappa Lakshmanan,Sara Robinson et al.]",36.99,408.0,243,4.6
Machine Learning for Algorithmic Trading: Predictive models to extract signals from market and alternative data for systematic trading strategies with Python 2nd Edition,[Stefan Jansen],44.99,820.0,243,4.5
Machine Learning with R: Expert techniques for predictive modeling 3rd Edition,[Brett Lantz],37.99,458.0,232,4.6
Machine Learning Engineering,[Andriy Burkov],39.49,310.0,222,4.7
Understanding Machine Learning: From Theory to Algorithms,"[Shai Shalev-Shwartz,Shai Ben-David]",62.99,410.0,218,4.4
Machine Learning: An Applied Mathematics Introduction,[Paul Wilmott],19.99,242.0,188,4.5
Becoming a Data Head: How to Think Speak and Understand Data Science Statistics and Machine Learning,"[Alex J. Gutman,Jordan Goldmeier]",24.49,272.0,184,4.6
Machine Learning with Python Cookbook: Practical Solutions from Preprocessing to Deep Learning,[Chris Albon],45.39,366.0,172,4.5
