title,author,price,pages,n_reviews,avg_reviews
Python Crash Course 2nd Edition: A Hands-On Project-Based Introduction to Programming,[Eric Matthes],21.49,544.0,7425,4.7
Python: - The Bible- 3 Manuscripts in 1 book: -Python Programming For Beginners -Python Programming For Intermediates -Python Programming for Advanced (Your place to learn Python with ease),[Maurice J. Thompson],27.97,375.0,4033,4.3
Python: For Beginners: A Crash Course Guide To Learn Python in 1 Week,[Timothy C. Needham],17.97,135.0,3034,4.3
Automate the Boring Stuff with Python 2nd Edition: Practical Programming for Total Beginners,[Al Sweigart],26.49,592.0,2538,4.7
Python for Everybody: Exploring Data in Python 3,"[Dr. Charles Russell Severance,Sue Blumenberg et al.]",9.99,247.0,2467,4.6
Python for Data Analysis: Data Wrangling with Pandas NumPy and IPython,[William McKinney],53.99,547.0,1631,4.6
Deep Learning with Python,[Francois Chollet],32.49,384.0,1349,4.6
A Smarter Way to Learn Python: Learn it faster. Remember it longer.,[Mark Myers],19.95,236.0,1059,4.6
Learn Python 3 the Hard Way: A Very Simple Introduction to the Terrifyingly Beautiful World of Computers and Code (Zed Shaws Hard Way Series),[Zed A. Shaw],31.99,320.0,904,4.4
Head First Python: A Brain-Friendly Guide,[Paul Barry],50.62,622.0,855,4.6
Python Pocket Reference: Python In Your Pocket (Pocket Reference (OReilly)),[Mark Lutz],13.79,262.0,818,4.5
Practical Statistics for Data Scientists: 50+ Essential Concepts Using R and Python,"[Peter Bruce,Andrew Bruce et al.]",24.88,368.0,655,4.6
Data Science from Scratch: First Principles with Python,[Joel Grus],45.22,406.0,594,4.4
Introduction to Machine Learning with Python: A Guide for Data Scientists,[Andreas C. Müller],45.0,398.0,565,4.5
Introduction to Computation and Programming Using Python: With Application to Understanding Data (The MIT Press),[John V. Guttag],42.75,472.0,561,4.6
Python Cookbook Third Edition,"[ David Beazley , Brian Jones ]",50.68,704.0,561,4.6
Think Python: How to Think Like a Computer Scientist,[Allen B. Downey],28.99,289.0,486,4.6
Python Basics: A Practical Introduction to Python 3,"[David Amos,Dan Bader et al.]",37.99,635.0,476,4.7
Python Flash Cards: Syntax Concepts and Examples,[Eric Matthes],24.48,101.0,387,4.7
Python Machine Learning: Machine Learning and Deep Learning with Python scikit-learn and TensorFlow 2 3rd Edition,"[Sebastian Raschka,Vahid Mirjalili]",49.39,770.0,387,4.5
