review_text,review_stars,title
"If you are new to the field, this book is a great companion to learning coding and stats. It doesn't get into the tech stuff or math but does a great job explaining concepts. Also really helped me learn to communicate with teammates and stakeholders to explain problems with design and what conclusions are not appropriate.",5.0 out of 5 stars,Becoming a Data Head: How to Think Speak and Understand Data Science Statistics and Machine Learning
I was able to understand everything and now I have confidence in learning more about machine learning.I do have a statistics background so many of the concepts weren’t new to me but the way they were explained here made it incredibly easy to remember or learn.,5.0 out of 5 stars,Becoming a Data Head: How to Think Speak and Understand Data Science Statistics and Machine Learning
"In a world where data continues exponential growth trajectory one needs to be able to make sense of the data. Many times people take data visualizations and statistical reports at face value. If only there was a book to help people cut through the noise of Big Data, Machine Learning, and Artificial Intelligence. The book “Becoming A Data Head” is that book that helps readers cut through the noise and hype of these new realms of leveraging data!The book provides tools and details on how readers can better understand the merits of machine learning, artificial intelligence, and overall use of data. There are also chapters on probabilities, statistics, and regression equations that help set the foundation for the more advance methodologies. I love how the authors break down these complex ideas so that readers can be skeptical and challenge assumptions. In addition readers will know how to ask better questions at the start of a project, so that the data analytics project will provide meaningful results.This book will help people work more efficiently with data scientists and communicate the problems they are trying to solve with data available to them. I highly recommend this book for anyone that wants to improve their understanding of data and the methods that can be used to analyze data sets.",5.0 out of 5 stars,Becoming a Data Head: How to Think Speak and Understand Data Science Statistics and Machine Learning
"First and foremost, I know the main author well, and I'm happy to see this book finally ""hit the shelves"". It's a book I would've greatly appreciated as an undergrad in statistics (or even graduate school for that matter), as it discusses a lot of practical aspects about being a good data scientist that my old formula-heavy stats and consulting books tended to gloss over. The authors have a natural talent in explaining complex topics to non-technical audience without all the fluff, and have obviously put a lot of thought into the examples used throughout the book (just take a look at the deep learning chapter!). The book covers a lot of important ground and the material is presented well. I think practitioners, whether in academia or industry, will especially appreciate the chapter on common pitfalls, which highlights several common problems we often run into in applied work. Parts I and II of the  book (Thinking/Speaking like a Data Head) will help build skills that are critical to applied data science (e.g., asking the right questions and thinking  about variation).  Whether you're an experienced data scientist, or just getting started, I wholeheartedly recommend this  book to you.",5.0 out of 5 stars,Becoming a Data Head: How to Think Speak and Understand Data Science Statistics and Machine Learning
Thank you! great books as always,5.0 out of 5 stars,Becoming a Data Head: How to Think Speak and Understand Data Science Statistics and Machine Learning
"IMHO, this is a really good overview of the data science industry today (circa 2021). Two things that stood out to me: 1) the emphasis on practical explanations (this is what it really means) and 2) the emphasis on pre-technical analysis components of data science (what I am referring to as the MORE framework representing consideration of missing data, origin story of data, representativeness of the data to what you are investigating, and exploration through visualization). For a day read, this was an awesome book… and probably most useful for A) data science folk concerned with delivery and communication and/or B) business folk who want to be more data-driven.",5.0 out of 5 stars,Becoming a Data Head: How to Think Speak and Understand Data Science Statistics and Machine Learning
"What is special about the book is the sequence in which the author chose to present his thoughts. While this book is no means a guide to implementing a data driven strategy or applying machine learning in a commercial setting, this is definitely a helpful book for people who have enough hands on experience in implementing end-to-end analytics solutions and getting ready to try their hand on a strategic leadership role. Treat this like a cheat sheet to avoid pitfalls and you will be able to appreciate the presentation format.",5.0 out of 5 stars,Becoming a Data Head: How to Think Speak and Understand Data Science Statistics and Machine Learning
"As someone enthusiastic about data and its potential to improve legal service delivery and the legal industry more generally, the book Becoming a Data Head is proving to be an excellent and accessible introduction to the space.We all often joke about lawyers and their fear of numbers. Still, numbers and data are becoming increasingly crucial for the legal industry, just as it has been essential for so many other industries for a long time.I strongly encourage you to challenge yourself and what you assume about yourself and data and explore this important field, starting by reading this book.",5.0 out of 5 stars,Becoming a Data Head: How to Think Speak and Understand Data Science Statistics and Machine Learning
"I'm halfway through the book and have no qualms with the ideas or presentation. I'd give that part 4 stars. However, the text itself is a mess. Whoever was responsible for typesetting and editing the book completely failed. Here are a few items I've noted.- large stretches with no page numbers, then they magically pop up on other pages- Entire chapter headings or section subheadings are either missing entirely, or missing letters. One heading was simply ""E"" and the rest of the title was missing. Others have gaping holes.- The first letter of the first word in several chapters is missing.I can forgive the occasional typeset problem, but this is endemic. I'm also annoyed that Amazon would sell a book in this condition. I can't be the only one noting these problems.",2.0 out of 5 stars,Becoming a Data Head: How to Think Speak and Understand Data Science Statistics and Machine Learning
Gutman and Goldmeier filter through much of the noise to break down complex data and statistical concepts we hear today into basic examples and analogies that stick. ‘Becoming a Data Head’ has enabled me to translate my team’s data needs into more tangible business requirements that make sense for our organization. A great read if you want to communicate your data more effectively to drive your business and data science team forward!,5.0 out of 5 stars,Becoming a Data Head: How to Think Speak and Understand Data Science Statistics and Machine Learning
